team_season_key,team_id,season_year,team_full_name,team_city,team_name,team_abbrev,league,season_founded,season_active_till
9005_1976,9005,1976,Rome Lottomatica Roma,Rome,Lottomatica Roma,LRO  ,LBA,1960,2020
9005_1977,9005,1977,Rome Lottomatica Roma,Rome,Lottomatica Roma,LRO  ,LBA,1960,2020
9005_1978,9005,1978,Rome Lottomatica Roma,Rome,Lottomatica Roma,LRO  ,LBA,1960,2020
9005_1979,9005,1979,Rome Lottomatica Roma,Rome,Lottomatica Roma,LRO  ,LBA,1960,2020
9005_1980,9005,1980,Rome Lottomatica Roma,Rome,Lottomatica Roma,LRO  ,LBA,1960,2020
9005_1981,9005,1981,Rome Lottomatica Roma,Rome,Lottomatica Roma,LRO  ,LBA,1960,2020
9005_1982,9005,1982,Rome Lottomatica Roma,Rome,Lottomatica Roma,LRO  ,LBA,1960,2020
9005_1983,9005,1983,Rome Lottomatica Roma,Rome,Lottomatica Roma,LRO  ,LBA,1960,2020
9005_1984,9005,1984,Rome Lottomatica Roma,Rome,Lottomatica Roma,LRO  ,LBA,1960,2020
9005_1985,9005,1985,Rome Lottomatica Roma,Rome,Lottomatica Roma,LRO  ,LBA,1960,2020
9005_1986,9005,1986,Rome Lottomatica Roma,Rome,Lottomatica Roma,LRO  ,LBA,1960,2020
9005_1987,9005,1987,Rome Lottomatica Roma,Rome,Lottomatica Roma,LRO  ,LBA,1960,2020
9005_1988,9005,1988,Rome Lottomatica Roma,Rome,Lottomatica Roma,LRO  ,LBA,1960,2020
9005_1989,9005,1989,Rome Lottomatica Roma,Rome,Lottomatica Roma,LRO  ,LBA,1960,2020
9005_1990,9005,1990,Rome Lottomatica Roma,Rome,Lottomatica Roma,LRO  ,LBA,1960,2020
9005_1991,9005,1991,Rome Lottomatica Roma,Rome,Lottomatica Roma,LRO  ,LBA,1960,2020
9005_1992,9005,1992,Rome Lottomatica Roma,Rome,Lottomatica Roma,LRO  ,LBA,1960,2020
9005_1993,9005,1993,Rome Lottomatica Roma,Rome,Lottomatica Roma,LRO  ,LBA,1960,2020
9005_1994,9005,1994,Rome Lottomatica Roma,Rome,Lottomatica Roma,LRO  ,LBA,1960,2020
9005_1995,9005,1995,Rome Lottomatica Roma,Rome,Lottomatica Roma,LRO  ,LBA,1960,2020
9005_1996,9005,1996,Rome Lottomatica Roma,Rome,Lottomatica Roma,LRO  ,LBA,1960,2020
9005_1997,9005,1997,Rome Lottomatica Roma,Rome,Lottomatica Roma,LRO  ,LBA,1960,2020
9005_1998,9005,1998,Rome Lottomatica Roma,Rome,Lottomatica Roma,LRO  ,LBA,1960,2020
9005_1999,9005,1999,Rome Lottomatica Roma,Rome,Lottomatica Roma,LRO  ,LBA,1960,2020
9005_2000,9005,2000,Rome Lottomatica Roma,Rome,Lottomatica Roma,LRO  ,LBA,1960,2020
9005_2001,9005,2001,Rome Lottomatica Roma,Rome,Lottomatica Roma,LRO  ,LBA,1960,2020
9005_2002,9005,2002,Rome Lottomatica Roma,Rome,Lottomatica Roma,LRO  ,LBA,1960,2020
9005_2003,9005,2003,Rome Lottomatica Roma,Rome,Lottomatica Roma,LRO  ,LBA,1960,2020
9005_2004,9005,2004,Rome Lottomatica Roma,Rome,Lottomatica Roma,LRO  ,LBA,1960,2020
9005_2005,9005,2005,Rome Lottomatica Roma,Rome,Lottomatica Roma,LRO  ,LBA,1960,2020
9005_2006,9005,2006,Rome Lottomatica Roma,Rome,Lottomatica Roma,LRO  ,LBA,1960,2020
9005_2007,9005,2007,Rome Lottomatica Roma,Rome,Lottomatica Roma,LRO  ,LBA,1960,2020
9005_2008,9005,2008,Rome Lottomatica Roma,Rome,Lottomatica Roma,LRO  ,LBA,1960,2020
9005_2009,9005,2009,Rome Lottomatica Roma,Rome,Lottomatica Roma,LRO  ,LBA,1960,2020
9005_2010,9005,2010,Rome Lottomatica Roma,Rome,Lottomatica Roma,LRO  ,LBA,1960,2020
9005_2011,9005,2011,Rome Lottomatica Roma,Rome,Lottomatica Roma,LRO  ,LBA,1960,2020
9005_2012,9005,2012,Rome Lottomatica Roma,Rome,Lottomatica Roma,LRO  ,LBA,1960,2020
9005_2013,9005,2013,Rome Lottomatica Roma,Rome,Lottomatica Roma,LRO  ,LBA,1960,2020
9005_2014,9005,2014,Rome Lottomatica Roma,Rome,Lottomatica Roma,LRO  ,LBA,1960,2020
9005_2015,9005,2015,Rome Lottomatica Roma,Rome,Lottomatica Roma,LRO  ,LBA,1960,2020
9005_2016,9005,2016,Rome Lottomatica Roma,Rome,Lottomatica Roma,LRO  ,LBA,1960,2020
9005_2017,9005,2017,Rome Lottomatica Roma,Rome,Lottomatica Roma,LRO  ,LBA,1960,2020
9005_2018,9005,2018,Rome Lottomatica Roma,Rome,Lottomatica Roma,LRO  ,LBA,1960,2020
9005_2019,9005,2019,Rome Lottomatica Roma,Rome,Lottomatica Roma,LRO  ,LBA,1960,2020
9005_2020,9005,2020,Rome Lottomatica Roma,Rome,Lottomatica Roma,LRO  ,LBA,1960,2020
9006_1947,9006,1947,Belgrade Partizan,Belgrade,Partizan,PAR  ,EuroLeague,1945,2100
9006_1949,9006,1949,Belgrade Partizan,Belgrade,Partizan,PAR  ,EuroLeague,1945,2100
